,名称,图画信息,图画标签,图片信息
277,仙山楼阁图轴,"创作者： 仇英 创作时间： 1550 年 （56岁） 风格流派： 文人画,吴门画派 所属时期： 明代 题材： 山水画 收藏地点： 故宫博物院",,
278,鹌鹑（活物写生）,"创作者： 沈周 风格流派： 水墨画,吴门画派 所属时期： 明代 题材： 动物画 收藏地点： 上海博物馆",沈周作品 鹌鹑 题字,
279,桃花源图局部,创作者： 仇英 原标题： Peach Blossom Spring (detail) 风格流派： 工笔画 所属时期： 明代 题材： 山水画,,
280,自画像（局部）,创作者： 陈洪绶 创作时间： 1635 年 （37岁） 风格流派： 水墨画 所属时期： 明代 题材： 自画像,,
281,心经卷轴,创作者： 仇英 创作时间： 1543 年 （49岁） 风格流派： 工笔画 所属时期： 明代 题材： 插画,仇英作品 中国传世画作 卖货郎 货架 儿童,
282,高攀龙诗文稿卷,创作者： 高攀龙 所属时期： 明代 题材： 书法篆刻 材质： 纸本,明代绘画作品 书法篆刻 诗文 书卷,
283,朱瞻基御制《书上林冬暖诗》立轴 47,创作者： 明宣宗 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,明宣宗书法作品 书法 行书,本幅为宣德六年（1431）赐给郎中程南雲的书法作品，结字近於赵孟頫，反映出明初以来的风尚，但运笔较为快速，起笔收笔不加修饰。
284,董其昌 仿李伯时山庄图,"创作者： 董其昌 所属时期： 明代 题材： 风景画,书法篆刻 材质： 纸本",书法篆刻 风景画 李伯时山庄图 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
285,董其昌 仿唐杨昇,"创作者： 董其昌 所属时期： 明代 题材： 风景画,书法篆刻 材质： 纸本",书法篆刻 山水画 唐杨昇 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
286,董其昌 仿倪元镇,"创作者： 董其昌 所属时期： 明代 题材： 山水画,书法篆刻 材质： 纸本",山水画 董其昌书法作品 倪元镇 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
287,董其昌 仿庐鸿草堂笔,"创作者： 董其昌 所属时期： 明代 题材： 风景画,书法篆刻 材质： 纸本",书法篆刻 山水画 明代时期作品 惠崇 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
288,董其昌 仿惠崇,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 山水画 惠崇 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
289,董其昌 仿梅花道人,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 董其昌作品 梅花道人 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
290,董其昌 仿米元晖,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 董其昌作品 米元晖 临摹,《仿古山水》册，明，董其昌作，纸本，设色，每开纵26.3cm，横25.5cm。作于明天启元年（1621年），董其昌时年67岁。
291,一團和氣图,"创作者： 明宪宗 所属时期： 明代 题材： 人物画,书法篆刻 材质： 墨汁,纸",明宪宗书画作品 书法 人物,成化元年御制（公元1465年，17岁的成化皇帝亲笔）
292,董宗伯书王右丞辋川诗真迹12,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 明代书法作品 书法 书信,
293,董宗伯书王右丞辋川诗真迹11,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 明代书法作品 书信 书法,
294,董宗伯书王右丞辋川诗真迹10,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,明代书法作品 书法篆刻 书信 书法,
295,董宗伯书王右丞辋川诗真迹5,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,明代书法作品 书法篆刻 书信 书法,
296,董宗伯书王右丞辋川诗真迹4,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,明代书法作品 书法篆刻 书信 书法,
297,董宗伯书王右丞辋川诗真迹9,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 明代时期作品 书法 书信,
298,小赤壁诗 册页5,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 书法 字体,
299,小赤壁诗 册页7,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,书法篆刻 明代时期作品 书法 字体,
300,小赤壁诗 册页1,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 书法 字体,
301,小赤壁诗 册页3,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 字体 书写,
302,小赤壁诗 册页2,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 小赤壁诗 册页,
303,小赤壁诗 册页4,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 小赤壁诗 册页,
304,小赤壁诗 册页6,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代书法作品 书法篆刻 小赤壁诗 册页,
305,临徐浩书张九龄告身卷2,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画 收藏地点： 东京国立博物馆,书法篆刻 日本东京国立博物馆藏品 书法 字体,董其昌《临徐浩书张九龄告身卷》 绢本 纵25.0厘米　横248.0厘米 日本东京国立博物馆藏
306,临徐浩书张九龄告身卷1,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代时期作品 书法篆刻 书法 字体,董其昌《临徐浩书张九龄告身卷》 绢本 纵25.0厘米　横248.0厘米 日本东京国立博物馆藏
307,蜀素帖后跋,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 绢画,明代时期作品 书法篆刻 书法 字体,
308,草书手札,创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 纸本,书法篆刻 明代时期作品 书法 字体,释文： 杨宫兄见顾，语及长老世讲事，已有兄意矣。忆得长老入山相託在我二老，今当索吉帖为定。惟兄翁作字致宫 兄，望足下、雲老书附纳。刘所示已非时，不复录。弟其昌顿首 【按】此帖受者已不可考，帖中所及之长老、杨宫、雲老及刘姓者也虽以确指。
309,夏木垂阴图,"创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 水墨,纸",董其昌著名画作 巨幅水墨画,此作是董其昌難得的巨幅作品。畫面下半主要由枝伸葉展的聳立雙樹撐起，與陡然昇起又朝畫外扭動的中景巨巖，及遠景層疊山頭，彼此連貫呼應，儼然有擎天之勢。另透過山嶺坡陀邊界、樹列、雲帶、林木枝幹的佈列，將全圖物象交叉成斜向的塊狀嵌合，形成視覺上緊湊豐盛的合奏。
310,書呂仙詩,"创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",董其昌书法作品 草书,相傳北宋熙寧（1068-1077）中，呂洞賓前往拜訪湖州東林山的沈東老，飲醉後以石榴皮書此詩於壁上，七年後蘇軾前往拜訪，沈東老雖已故三年，仍和詩三首以記之。此呂仙詩在明末時尚有拓本流傳，董其昌認為很接近懷素風格，因而選擇以懷素大草風格書寫此作。
311,葑泾访古图4,"创作者： 董其昌 所属时期： 明代 题材： 山水画,书法篆刻 材质： 水墨,纸",董其昌画作,萬曆卅年（1602）正月，董其昌與同年顧際明一同歸自檇李（嘉興），因遇雨宿於葑涇，檢賞古人名跡之餘，興起繪成此圖。從摯友陳繼儒（1558—1639）的跋語得知，董其昌此作融會並再現了他對王維、董源風格的理解。
312,葑泾访古图3,"创作者： 董其昌 所属时期： 明代 题材： 山水画,书法篆刻 材质： 墨汁,水墨画,纸",董其昌中国画作 山水画,萬曆卅年（1602）正月，董其昌與同年顧際明一同歸自檇李（嘉興），因遇雨宿於葑涇，檢賞古人名跡之餘，興起繪成此圖。從摯友陳繼儒（1558—1639）的跋語得知，董其昌此作融會並再現了他對王維、董源風格的理解。
313,葑泾访古图2,"创作者： 董其昌 所属时期： 明代 题材： 山水画,书法篆刻 材质： 墨汁,水墨画,纸",董其昌书画 董其昌风景画 中国画 书法,萬曆卅年（1602）正月，董其昌與同年顧際明一同歸自檇李（嘉興），因遇雨宿於葑涇，檢賞古人名跡之餘，興起繪成此圖。從摯友陳繼儒（1558—1639）的跋語得知，董其昌此作融會並再現了他對王維、董源風格的理解。
314,葑泾访古图1,"创作者： 董其昌 所属时期： 明代 题材： 山水画,书法篆刻 材质： 墨汁,水墨画,纸",董其昌书画 董其昌中国画 中国画 书法,萬曆卅年（1602）正月，董其昌與同年顧際明一同歸自檇李（嘉興），因遇雨宿於葑涇，檢賞古人名跡之餘，興起繪成此圖。從摯友陳繼儒（1558—1639）的跋語得知，董其昌此作融會並再現了他對王維、董源風格的理解。將源自董源的披麻皴作疏密安排、濃淡點畫的層層堆疊，令畫中山石呈現出瑩潤的
315,董宗伯书王右丞辋川诗真迹1,创作者： 董其昌 所属时期： 明代 材质： 墨汁,董其昌书法作品 书法 汉字,1600暮春，董其昌到宜興（荊谿）拜訪同年進士吳正志（1562-?），並為他書寫王維（701-761）〈輞川詩〉。吳氏為宜興收藏家，兩人交往相當密切頻繁，〈奇峯白雲〉圖也是為他所作。董其昌收藏過的黃公望〈富春山居圖〉，後來也轉入吳正志手中，其子吳洪裕臨終前試圖燒掉此畫，所幸搶救出。
316,董宗伯书王右丞辋川诗真迹6,"创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",董其昌书法作品 汉字 书法,
317,董宗伯书王右丞辋川诗真迹8,"创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",董其昌书法作品 书法 汉字,
318,题虞摹兰亭跋,"创作者： 宋濂 所属时期： 明代 题材： 书法篆刻,誊抄体 材质： 墨水,纸",宋濂书法 书法,
319,行书仪靖帖页,"创作者： 宋濂 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",宋濂书法 汉字,
320,题陆柬之文赋,"创作者： 宋濂 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",宋濂书法 汉字,
321,董宗伯书王右丞辋川诗真迹13,"创作者： 董其昌 所属时期： 明代 题材： 人物画,书法篆刻 材质： 墨汁,纸",董其昌书画 中国画 书法,
322,董宗伯书王右丞辋川诗真迹3,"创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",董其昌书法作品 书法 汉字,
323,白羽扇赋轴,"创作者： 董其昌 所属时期： 明代 题材： 书法篆刻 材质： 墨汁,纸",董其昌晚年书法 书法 汉字,唐代诗人及宰相张九龄，受朝中权臣排挤，因玄宗赐白羽扇，作赋以明志，含有明哲保身的涵义。董其昌这件作品写于七十八岁（1632）高龄，仍然不失一贯的秀逸畅快的节奏，令人觉得余韵无穷。
324,宋濂书法,"创作者： 宋濂 所属时期： 明代 题材： 书法篆刻 材质： 墨水,纸",宋濂书法 汉字,
325,董文敏仿米家山水真迹,"创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 水墨,纸 尺寸： 25.9×219.1 cm 收藏地点： 大都会艺术博物馆",董其昌作品 题字 山 房屋 树,
326,仿宋元人缩本画跋册14开-87,创作者： 董其昌 所属时期： 明代 收藏地点： 台北故宫博物院,董其昌作品 山 小舟 船桨,
327,书札册008,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 10*23.7cm 收藏地点： 故宫博物院",中国书法 行书 书札,
328,三驼图,创作者： 李士达 所属时期： 明代 题材： 人物画 材质： 纸本 尺寸： 78.5X30.3cm 收藏地点： 故宫博物院,人物画作 三个人,纸本，墨笔，78.5*30.3cm，故宫博物院藏。图绘三位驼背老人相聚的情景。三位老人一提篮侧顾，一向提篮者作揖，一拍手大笑，三人形象滑稽，笑态可掬。画作上方有钱云治题诗：世上无直人，暗讽那时的社会现象。李士达，字通甫，号仰槐，明代画家，其所画山石、人物造型多为圆形，线条柔韧，神态极生动。
329,山水六开51,创作者： 董其昌 所属时期： 明代,董其昌作品 树 桥,
330,山水纸本8,创作者： 董其昌 所属时期： 明代,董其昌作品 书法 绘画 茶壶 印章,
331,吴中胜概图全卷,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画,书法篆刻 材质： 绢画,水墨 尺寸： 31.5*453cm 收藏地点： 天津艺术博物馆",中国山水画 中国书法 山水 树木 云雾 题跋,
332,扇面16开-03,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代,文徵明作品 山峰 人 树,
333,白谭图,"创作者： 周臣 风格流派： 院体画 所属时期： 明代 题材： 山水画 材质： 水墨,纸本 尺寸： 38x73cm",明代院体画 山水 松树 童子 道家人物 水边,纸本，淡设色，38x73cm，收藏不详。绘四周环山水潭边，一道者盘坐席上，手执拂尘掸，静心修行，一边的童子正给炉子扇风烧火，近处树木遒劲苍翠。技法上，绘山石坚凝，线条坚挺，棱角锋利，用笔纯熟，取法于李唐派系。
334,吕仙像,创作者： 曾鲸 所属时期： 明代 题材： 人物画,曾鲸作品 没骨渲染法 体积感 吕仙 云朵,
335,祝寿图轴,"创作者： 王文炜 所属时期： 明代 题材： 风俗画,人物画 材质： 绢画 尺寸： 182cmx89cm 收藏地点： 天津博物馆",寓意吉祥 寿老,
336,葵石峡蝶图,"创作者： 戴进 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 尺寸： 39.5X114cm 收藏地点： 故宫博物院",中国花鸟画 湖石 蜀葵 蝴蝶,
337,行书自作诗卷全卷,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 587x32cm",中国书法 行书,纸本，行书，587x32cm，收藏不详。此卷为《忆昔四首次陈鲁南韵》的其中二首。释文：三年端笏侍明光，潦倒争看白发郎。咫尺常依天北极，分番曾直殿东廊。紫泥浥露封题湿，宝墨含风赐扇香。记得退朝归院静，微吟行过药阑旁。一命金华忝制臣，山姿偃蹇漫垂绅。媿无忠孝酬千载，曾履忧危事一人。
338,老子骑牛,"创作者： 张路 风格流派： 浙江画派 所属时期： 明代 创作地点： 中国 题材： 人物画 材质： 水墨,纸本 尺寸： 101.5x55.3cm 收藏地点： 台北故宫博物院",中国人物画 老子 牛 道德经,纸本，水墨，101.5x55.3cm，台北故宫博物馆藏。图绘老子坐于牛背上，手执《道德经》卷，抬眼向上紧盯一只飞蝠。老子鹤发飘飘，宽衣大袍，一副仙风道骨的模样，所骑之牛，体形壮硕，扭头一瞥气势强盛，栩栩如生。张路，字天驰，号平山，明代画家，其用笔喜豪放纵逸，水墨酣畅淋漓。
339,四松图册页,"创作者： 沈周 风格流派： 吴门画派 所属时期： 明代 材质： 水墨,纸本 尺寸： 154 x 60.3 cm 收藏地点： 大都会艺术博物馆",沈周作品 岩石 山峰 松树,纸本，水墨设色，154×60.3，大都会艺术博物馆藏。画面上四棵松枝繁叶茂，卓而不群，松针细细勾画，画家用墨点法点缀出山上植物，整个画面很丰满，山头亦很圆润，画家此时的心情应很愉悦！
340,观音图,创作者： 丁云鹏 所属时期： 明代 题材： 宗教画 材质： 纸本 尺寸： 33.1 x 97.2 cm 收藏地点： 辽宁省博物馆,丁云鹏作品 菩萨 净瓶 竹 坐台,纸本，设色，97.2x33.1cm，辽宁省博物馆藏。绘观音端坐在岩石之上，眼睑低垂，两手拢袖中抱于胸前，着白色长袍，身边放一净瓶，瓶内插新竹数枝。人物面相与手指以工笔重彩，平涂淡色，粗细、浓淡间对比强烈，设色古朴，雅致脱俗。丁云鹏，明代画家，善白描人物像、佛像等。
341,同年饮宴图轴,"创作者： 佚名 所属时期： 明代 材质： 绢画,水墨 尺寸： 98 x 52 cm",明代绢画 山 河流 人 桌子 瓦罐,
342,滕王阁序,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 书法篆刻 材质： 水墨,纸本 尺寸： 27x231cm 收藏地点： 苏州博物馆",中国书法 行草,纸本，行草， 27x231cm，苏州博物馆藏。《滕王阁序》为唐代诗人王勃所作，明代书画家文徵明撰写，文氏行草书法，平正婉和，温润秀劲，笔势潇洒，清秀俊雅。文氏行草书法有王羲之、智永等人风格，又吸取宋元书法家苏轼、米芾、黄庭坚的精华，形成其独特风格。
343,秋花蛱蝶图,"创作者： 文俶 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 绢画,水墨 尺寸： 66x102cm 收藏地点： 天津艺术博物馆",中国花鸟画 湖石 雏菊 海棠 黄花 湖石 蝴蝶,绢本，设色，66.1x102.3cm，天津艺术博物馆藏。图绘细窄河流两侧鲜花盛开，色彩鲜艳，蓝的雏菊，粉的海棠，橘的黄花...，清新自然，赏心悦目；湖石傍花而立，形状奇异，犹如一株蓝色花朵盛开；一只黑色蝴蝶被繁华吸引而来，扇动的翅膀正徐徐落下。文俶，字端容，明代女画家，文徵明的
344,花卉图册页第一开,创作者： 文俶 所属时期： 明代,,
345,花卉图册页第六开,"创作者： 文俶 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 收藏地点： 故宫博物院",中国花鸟画 湖石 花草,
346,花卉图册页第七开,"创作者： 文俶 所属时期： 明代 创作地点： 中国 题材： 花鸟画 材质： 水墨,纸本 收藏地点： 故宫博物院",中国花鸟画 花草,
347,卧游图册02,创作者： 沈周 风格流派： 吴门画派 所属时期： 明代 材质： 纸本 尺寸： 27.8 x 37.3 cm 收藏地点： 故宫博物院,沈周作品 题字 树 山,
348,卧游图册12,创作者： 沈周 风格流派： 吴门画派 所属时期： 明代 材质： 纸本 尺寸： 27.8 x 37.3 cm 收藏地点： 故宫博物院,沈周作品 小舟 船桨 河流 树,
349,卧游图册15,创作者： 沈周 风格流派： 吴门画派 所属时期： 明代 材质： 纸本 尺寸： 27.8 x 37.3 cm 收藏地点： 故宫博物院,沈周作品 树 云雾,
350,大普贤,所属时期： 明代 题材： 宗教绘画 材质： 壁画 尺寸： 224×224cm 收藏地点： 法海寺,宗教画作 菩萨 人,壁画，重彩，北京法海寺大雄宝殿内壁。法海寺壁画系列以丰富多变的线条把人物的形象、服饰完美地勾画出来，运笔如行云流水，挥洒自如，以流畅的线条，把丰富多彩各式各类的人物，刻画得富于个性，栩栩如生。
351,释伽牟尼图,创作者： 丁云鹏 所属时期： 明代 题材： 宗教画 材质： 纸本 尺寸： 58.5 x 143.8 cm 收藏地点： 天津博物馆,丁云鹏作品 释迦牟尼 松柏 蒲草 山峰,纸本，设色，58.5x143.8cm，天津博物馆藏。画家以重彩绘制释伽牟尼坐像，在一处山脚松柏下释伽牟尼坐于蒲草上，头顶肉髻，眼睑低垂，双手搭在弓起的右腿膝盖上，头又压在双手上，神情安宁，似在沉思。丁云鹏所绘佛像众多，白描似李公麟，设色学钱选，佛像栩栩如生，庄严肃穆。
352,真草千字文(宋拓本)董其昌跋,创作者： 董其昌 所属时期： 明代,董其昌作品 题跋 书法 行书,
353,赴会东3,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,明代绘画作品 法海寺壁画 宗教绘画 佛教 神明 云彩,
354,上博画集选纸本36-11,创作者： 张路 所属时期： 明代 题材： 人物画 材质： 绢画,人物画 明代绘画作品 人 石头,
355,赴会西2,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,法海寺壁画 宗教绘画 神明 云彩,
356,赴会西3,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,法海寺壁画 宗教绘画 佛教 神明,
357,赴会西5,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,法海寺壁画 宗教绘画 神明 云彩,
358,赴会西6,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,法海寺壁画 宗教绘画 神明 云彩,
359,岁朝佳兆图轴,"创作者： 朱见深 所属时期： 明代 题材： 人物画 材质： 绢画,纸",人物画 风俗画 人物 蝙蝠 托盘,绢本，设色，59.7*35.5cm。这是一幅驱鬼辟邪的风俗年画，画上钟馗犀利的目光紧盯着飞来的蝙蝠，一手持如意，一手扶在小鬼的肩头；小鬼双手捧着盛有柿子和柏枝的托盘，寓意“百事如意”。朱见深，即成化帝，是一位画技老练的皇帝。
360,山水六册合卷,创作者： 盛茂烨 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 28.6x30.5,山水画 明代绘画作品 山 水 树木,绢本，设色，每幅28.6x30.5cm，收藏不详。此卷为盛茂烨的山水画六幅合卷，每一幅皆描绘山水和乡村之景，近景树木、人物、房屋等工整细致，远处山景朦胧，云雾缥渺，体现大自然的魅力。盛茂烨，号念庵，明代画家，其笔下山水有烟林清旷之概。
361,赴会西1,创作者： 法海寺壁画 所属时期： 明代 题材： 风俗画 材质： 壁画,神仙 云,
362,花卉图14,"创作者： 陈淳 所属时期： 明代 题材： 书法篆刻 材质： 水墨,纸本",书法纂刻 明代书法作品 字帖 书写,
363,草虫册页,创作者： 温良 所属时期： 明代 题材： 花卉画 材质： 绢画 尺寸： 26x42cm 收藏地点： 大都会艺术博物馆,虫子 石头 昆虫,绢本，水墨设色，12.7×17.1cm，大都会艺术博物馆藏。画面上一只天牛扒在石头上，低头俯看石头下的红果实。画家将天牛的触角特征完全表现出来，嘴钳、足尖亦细细勾画，下面红色的果子在绿叶的衬托下更鲜艳，有一枝长长的藤蔓伸向远处，此画让观者如身临其境，赞叹不已！温良，字元吉，一作元善，正统十二年（1447）举人，明代画家。
364,过海图轴,创作者： 刘俊 所属时期： 明代 题材： 人物画 材质： 绢画 尺寸： 132x80cm,海洋 波涛 财神,绢本，淡设色，132x80cm，收藏不详。图绘刘海手捧蟾过海的情景。图上波涛汹涌，刘海身穿宽袍，左手手捧金蟾，脚踩波浪坦然过海，刘海为民间传说人物，为民间信奉的财神之一。刘俊，字廷伟，擅山水，明代宫廷画家，代表作有《刘海戏蟾图》等。
365,仿王蒙山水图,"创作者： 谢时臣 所属时期： 明代 题材： 风景画 材质： 水墨,纸 尺寸： 58.5X31.2",中国古代山水画 明代绘画作品 山 水 房屋 树木,谢时臣，明代画家，字思忠，号樗仙，吴（今江苏省苏州市）人。谢时臣工山水，师法吴镇， 得沈周笔意而稍变。多作长卷巨幛，峰峦雄伟。尤善画水，江河湖海，种种皆妙。笔墨纵横自如，富有气势，介乎戴进和沈周之间。唯刻画不 够精微，殊少秀韵。
366,水月01,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,宗教绘画 法海寺壁画 神明 观音,《水月》为法海寺壁画，建于明正统四年，为法海寺绝美之景。此幅《水月》堪称观音像中最精美的一幅，观音所着首饰精美，披纱美妙绝伦，而这些都是巧匠们在石块上一点一点凿成，可见他们的技艺高超，而做到如此细致和精美，令人观为叹止！
367,文殊01,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,宗教绘画 法海寺壁画 神明 云彩,
368,帝释东拼2,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,宗教绘画 法海寺壁画 神明 云彩,
369,文殊02,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,宗教绘画 法海寺壁画 神明 云彩,
370,赴会东2,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,法海寺壁画 宗教绘画 神明 云彩 树木,
371,赴会东4,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画 材质： 壁画,宗教绘画 法海寺壁画 神明 云彩,
372,水月02,创作者： 法海寺壁画 所属时期： 明代 题材： 风俗画 材质： 壁画,宗教绘画 人物画 小孩 女神,
373,赴会东5,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画,法海寺壁画 宗教绘画 人物 花 云彩,
374,赴会西,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教绘画,法海寺壁画 宗教绘画 人物 云雾,
375,盘车图册,创作者： 李希颜 所属时期： 明代 题材： 风景画 材质： 绢画 尺寸： 12.7×17.1,风景画 李希颜作品 明代绘画作品 山 树木 房屋,
376,游仙图卷,"创作者： 沈希远 所属时期： 明代 题材： 风景画,书法篆刻 材质： 水墨,纸",风景画 书法纂刻 书法 山 树木,
377,西湖全景十二屏,"创作者： 周尚文 所属时期： 明代 题材： 风景画 材质： 水墨,纸",中国古代山水画 周尚文作品 明代时期绘画 西湖 风景,
378,赴会东6,创作者： 法海寺壁画 所属时期： 明代 题材： 宗教画 材质： 壁画,风景画 宗教绘画 法海寺壁画 山 云雾 人,
379,花鸟图轴,创作者： 林良 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 247x50cm 收藏地点： 上海博物馆,上海博物馆藏品 林良作品 枝叶 鸟,纸本，水墨，247x50cm，上海博物馆藏。图绘二只黑头白肚鸟儿栖息在树枝上，树枝粗壮，树叶繁茂。技法上，以水墨粗笔勾画树枝和叶，又以细笔描画鸟儿羽毛，达到简练而准确，写意而形具。林良，字以善，明代画家，画风用笔遒劲，如作草书；其水墨写意花鸟画与当时的艳丽工巧的宫廷画风不同，独树一帜的画法受人追捧。
380,人物故事图-子路问津,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 历史绘画,山水画 材质： 绢画,水墨 尺寸： 41.4×33.8cm 收藏地点： 故宫博物院",中国文人画 历史故事 山石 树木 河水 人物 马车 子路 农夫,绢本，设色，41.4*33.8cm，故宫博物院藏。此图取自孔子周游列国时，子路向长沮、桀溺二人问渡口的故事。图绘苍翠树下停了一辆马车，车上一须白老者拢袖垂眼，一块石头堵住了去路，前方河水粼粼，已无路可走，故子路向农夫长沮、桀溺寻问渡口，画家就将此典故以图画的方式描绘。
381,赤壁图卷全卷,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 人物画,山水画 材质： 绢画,水墨 尺寸： 26.1x292.1cm 收藏地点： 辽宁省博物馆",中国山水画 文人画 人物画 断岸 江水 树木 船 樵夫 苏轼 人物,
382,仇英赤壁图,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 23.5×129cm",中国山水画 断岸 江水 树木 船 苏轼 樵夫 人物,
383,桃花源图全卷,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 33X472cm 收藏地点： 波士顿美术馆",中国山水画 青绿山水 群山 河流 树木 房屋亭台 文人雅士 船 人物,纸本，重设色，33X472cm，波士顿艺术博物馆藏。长卷以大青绿重色绘制，群山延绵，流水潺潺，树木苍翠，在此优雅僻静之地，房屋亭台修建考究，雅士、文人到此观景隐居，生活自由自在，实乃是陶渊明笔下的桃花源，人间仙境也！
